STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
LAKSHADWEEP,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),5,2,0,0,0,6,0,6,1,92,6,0,98,0,15,1,14,83
TOTAL (UTs),INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),116,239,0,0,1,183,11,194,160,684,183,0,867,1,172,64,108,694
TOTAL (ALL-INDIA),INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),2023,9173,0,0,339,7937,325,8262,2595,25099,7937,2,33034,1325,6956,2566,4390,24753
ANDHRA PRADESH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),4700,13389,0,0,1049,10689,711,11400,5640,21962,10689,1,32650,3510,6506,661,5845,22634
ARUNACHAL PRADESH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),12,26,0,0,0,20,4,24,14,92,20,0,112,2,4,2,2,106
ASSAM,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),4509,6407,0,107,376,3971,1070,5041,5392,8081,3971,0,12052,237,2135,205,1930,9680
BIHAR,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),2778,3686,0,0,570,3125,509,3634,2260,6029,3125,0,9154,249,948,171,777,7957
CHHATTISGARH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),84,980,0,0,1,957,5,962,101,4592,957,0,5549,72,845,242,603,4632
GOA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),21,24,0,0,0,7,5,12,33,53,7,0,60,0,7,1,6,53
GUJARAT,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),700,6658,3,5,9,6522,11,6533,808,39723,6522,0,46245,200,3186,110,3076,42859
HARYANA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),868,3137,0,0,834,2011,279,2290,881,6804,2011,0,8815,46,2026,188,1838,6743
HIMACHAL PRADESH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),68,251,0,0,41,215,2,217,61,1317,215,0,1532,68,168,6,162,1296
JAMMU & KASHMIR,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),106,301,0,1,25,273,0,273,108,618,273,0,891,60,82,2,80,749
JHARKHAND,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),538,1261,0,0,31,929,137,1066,702,895,929,0,1824,49,612,156,456,1163
KARNATAKA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),924,3684,0,26,223,3162,79,3241,1118,7909,3162,27,11044,105,2126,71,2055,8813
KERALA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),1515,5216,0,2,206,5026,100,5126,1397,18292,5026,0,23318,93,2381,168,2213,20844
MADHYA PRADESH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),192,3988,0,0,3,3970,16,3986,191,11690,3970,27,15633,917,2095,697,1398,12621
MAHARASHTRA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),2249,7415,0,4,107,6946,130,7076,2477,54436,6946,0,61382,673,6109,113,5996,54600
MANIPUR,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),129,43,0,0,0,7,11,18,154,4,7,0,11,0,0,0,0,11
MEGHALAYA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),46,16,0,0,0,8,2,10,52,44,8,0,52,0,0,0,0,52
MIZORAM,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),2,8,0,0,0,7,0,7,3,1,7,0,8,0,8,7,1,0
NAGALAND,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ODISHA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),1041,2638,0,0,50,2364,53,2417,1212,8570,2364,0,10934,0,1350,146,1204,9584
PUNJAB,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),777,1293,0,0,99,718,143,861,1110,3696,718,0,4414,0,443,113,330,3971
RAJASTHAN,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),440,13312,0,1,6241,6934,30,6964,546,26639,6934,0,33573,1196,4060,1480,2580,28317
SIKKIM,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),3,4,0,0,0,2,4,6,1,15,2,0,17,0,7,3,4,10
TAMIL NADU,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),926,1965,0,0,102,1496,139,1635,1154,4036,1496,0,5532,2,1035,203,832,4495
TRIPURA,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),91,858,0,0,3,793,69,862,84,2362,793,558,2597,150,1418,213,1205,1029
UTTAR PRADESH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),869,7661,0,0,130,4461,1435,5896,2504,14573,4461,0,19034,463,2866,1414,1452,15705
UTTARAKHAND,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),70,368,0,0,13,255,70,325,100,1189,255,0,1444,24,186,122,64,1234
WEST BENGAL,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),11991,19865,0,5,69,21556,640,22196,9586,92303,21556,0,113859,43,4486,199,4287,109330
TOTAL (STATES),CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),35649,104454,3,151,10182,86424,5654,92078,37689,335926,86424,613,421737,8159,45089,6693,38396,368489
A & N ISLANDS,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),5,5,0,0,0,3,2,5,5,67,3,0,70,0,1,0,1,69
CHANDIGARH,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),70,73,0,0,6,55,5,60,77,248,55,0,303,0,54,8,46,249
D & N HAVELI,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),5,0,1,0,0,1,0,1,3,19,1,0,20,0,3,0,3,17
DAMAN & DIU,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),2,3,0,0,0,2,0,2,3,11,2,0,13,0,2,0,2,11
DELHI,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),5066,1985,57,3,47,1143,319,1462,5482,3592,1143,0,4735,0,897,215,682,3838
LAKSHADWEEP,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),0,1,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0
PUDUCHERRY,CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),5,6,0,1,0,5,0,5,5,36,5,0,41,0,8,0,8,33
TOTAL (UTs),CRUELTY BY HUSBAND AND RELATIVES (SECTION 498-A IPC),5153,2073,58,4,53,1209,326,1535,5576,3976,1209,0,5185,3,965,223,742,4217
